date,,0
2015-03-04,09-1,142592.59306666668
2015-03-04,09-2,142592.59306666668
2015-03-04,09-3,142592.59306666668
2015-03-04,06-6,129224.53746666668
2015-03-04,06-5,129224.53746666668
2015-03-04,07-4,129224.53746666668
2015-03-04,06-2,96250.00032000002
2015-03-04,06-3,96250.00032000002
2015-03-04,03-1,96250.00032000002
2015-03-04,09-4,96250.00032000002
2015-03-04,09-5,96250.00032000002
2015-03-05,09-1,142592.59306666668
2015-03-05,09-2,142592.59306666668
2015-03-05,09-3,142592.59306666668
2015-03-05,06-6,142592.59306666668
2015-03-05,06-5,142592.59306666668
2015-03-05,07-4,142592.59306666668
2015-03-05,06-2,104270.83368000001
2015-03-05,06-3,104270.83368000001
2015-03-05,03-1,104270.83368000001
2015-03-05,09-4,104270.83368000001
2015-03-05,09-5,104270.83368000001
2015-03-06,09-1,160416.66720000003
2015-03-06,09-2,160416.66720000003
2015-03-06,09-3,160416.66720000003
2015-03-06,06-6,160416.66720000003
2015-03-06,06-5,160416.66720000003
2015-03-06,07-4,160416.66720000003
2015-03-06,06-2,117638.88928000003
2015-03-06,06-3,117638.88928000003
2015-03-06,03-1,117638.88928000003
2015-03-06,09-4,117638.88928000003
2015-03-06,09-5,117638.88928000003
2015-03-07,09-1,178240.74133333334
2015-03-07,09-2,178240.74133333334
2015-03-07,09-3,178240.74133333334
2015-03-07,06-6,164872.68573333335
2015-03-07,06-5,164872.68573333335
2015-03-07,07-4,164872.68573333335
2015-03-07,06-2,122986.11152
2015-03-07,06-3,122986.11152
2015-03-07,03-1,122986.11152
2015-03-07,09-4,122986.11152
2015-03-07,09-5,122986.11152
2015-03-08,09-1,102488.42626666668
2015-03-08,09-2,102488.42626666668
2015-03-08,09-3,102488.42626666668
2015-03-08,06-6,49016.20386666668
2015-03-08,06-5,49016.20386666668
2015-03-08,07-4,49016.20386666668
2015-03-08,06-2,34756.94456
2015-03-08,06-3,34756.94456
2015-03-08,03-1,34756.94456
2015-03-08,09-4,34756.94456
2015-03-08,09-5,34756.94456
2015-03-09,09-1,160416.66720000003
2015-03-09,09-2,160416.66720000003
2015-03-09,09-3,160416.66720000003
2015-03-09,06-6,155960.64866666668
2015-03-09,06-5,155960.64866666668
2015-03-09,07-4,155960.64866666668
2015-03-09,06-2,114965.27816000002
2015-03-09,06-3,114965.27816000002
2015-03-09,03-1,114965.27816000002
2015-03-09,09-4,114965.27816000002
2015-03-09,09-5,114965.27816000002
2015-03-10,09-1,173784.72280000002
2015-03-10,09-2,173784.72280000002
2015-03-10,09-3,173784.72280000002
2015-03-10,06-6,169328.70426666667
2015-03-10,06-5,169328.70426666667
2015-03-10,07-4,169328.70426666667
2015-03-10,06-2,125659.72264
2015-03-10,06-3,125659.72264
2015-03-10,03-1,125659.72264
2015-03-10,09-4,125659.72264
2015-03-10,09-5,125659.72264
2015-03-11,09-1,169328.70426666667
2015-03-11,09-2,169328.70426666667
2015-03-11,09-3,169328.70426666667
2015-03-11,06-6,160416.66720000003
2015-03-11,06-5,160416.66720000003
2015-03-11,07-4,160416.66720000003
2015-03-11,06-2,120312.50040000002
2015-03-11,06-3,120312.50040000002
2015-03-11,03-1,120312.50040000002
2015-03-11,09-4,120312.50040000002
2015-03-11,09-5,120312.50040000002
2015-03-12,09-1,151504.63013333335
2015-03-12,09-2,151504.63013333335
2015-03-12,09-3,151504.63013333335
2015-03-12,06-6,142592.59306666668
2015-03-12,06-5,142592.59306666668
2015-03-12,07-4,142592.59306666668
2015-03-12,06-2,106944.44480000001
2015-03-12,06-3,106944.44480000001
2015-03-12,03-1,106944.44480000001
2015-03-12,09-4,106944.44480000001
2015-03-12,09-5,106944.44480000001
2015-03-13,09-1,151504.63013333335
2015-03-13,09-2,151504.63013333335
2015-03-13,09-3,151504.63013333335
2015-03-13,06-6,147048.6116
2015-03-13,06-5,147048.6116
2015-03-13,07-4,147048.6116
2015-03-13,06-2,109618.05592
2015-03-13,06-3,109618.05592
2015-03-13,03-1,109618.05592
2015-03-13,09-4,109618.05592
2015-03-13,09-5,109618.05592
2015-03-14,09-1,133680.556
2015-03-14,09-2,133680.556
2015-03-14,09-3,133680.556
2015-03-14,06-6,129224.53746666668
2015-03-14,06-5,129224.53746666668
2015-03-14,07-4,129224.53746666668
2015-03-14,06-2,96250.00032000002
2015-03-14,06-3,96250.00032000002
2015-03-14,03-1,96250.00032000002
2015-03-14,09-4,96250.00032000002
2015-03-14,09-5,96250.00032000002
2015-03-15,09-1,138136.57453333333
2015-03-15,09-2,138136.57453333333
2015-03-15,09-3,138136.57453333333
2015-03-15,06-6,133680.556
2015-03-15,06-5,133680.556
2015-03-15,07-4,133680.556
2015-03-15,06-2,101597.22256
2015-03-15,06-3,101597.22256
2015-03-15,03-1,101597.22256
2015-03-15,09-4,101597.22256
2015-03-15,09-5,101597.22256
2015-03-16,09-1,155960.64866666668
2015-03-16,09-2,155960.64866666668
2015-03-16,09-3,155960.64866666668
2015-03-16,06-6,151504.63013333335
2015-03-16,06-5,151504.63013333335
2015-03-16,07-4,151504.63013333335
2015-03-16,06-2,112291.66704000001
2015-03-16,06-3,112291.66704000001
2015-03-16,03-1,112291.66704000001
2015-03-16,09-4,112291.66704000001
2015-03-16,09-5,112291.66704000001
2015-03-17,09-1,142592.59306666668
2015-03-17,09-2,142592.59306666668
2015-03-17,09-3,142592.59306666668
2015-03-17,06-6,138136.57453333333
2015-03-17,06-5,138136.57453333333
2015-03-17,07-4,138136.57453333333
2015-03-17,06-2,101597.22256
2015-03-17,06-3,101597.22256
2015-03-17,03-1,101597.22256
2015-03-17,09-4,101597.22256
2015-03-17,09-5,101597.22256
2015-03-18,09-1,147048.6116
2015-03-18,09-2,147048.6116
2015-03-18,09-3,147048.6116
2015-03-18,06-6,142592.59306666668
2015-03-18,06-5,142592.59306666668
2015-03-18,07-4,142592.59306666668
2015-03-18,06-2,106944.44480000001
2015-03-18,06-3,106944.44480000001
2015-03-18,03-1,106944.44480000001
2015-03-18,09-4,106944.44480000001
2015-03-18,09-5,106944.44480000001
2015-03-19,09-1,124768.51893333334
2015-03-19,09-2,124768.51893333334
2015-03-19,09-3,124768.51893333334
2015-03-19,06-6,120312.50040000002
2015-03-19,06-5,120312.50040000002
2015-03-19,07-4,120312.50040000002
2015-03-19,06-2,90902.77808
2015-03-19,06-3,90902.77808
2015-03-19,03-1,90902.77808
2015-03-19,09-4,90902.77808
2015-03-19,09-5,90902.77808
2015-03-20,09-1,169328.70426666667
2015-03-20,09-2,169328.70426666667
2015-03-20,09-3,169328.70426666667
2015-03-20,06-6,160416.66720000003
2015-03-20,06-5,160416.66720000003
2015-03-20,07-4,160416.66720000003
2015-03-20,06-2,120312.50040000002
2015-03-20,06-3,120312.50040000002
2015-03-20,03-1,120312.50040000002
2015-03-20,09-4,120312.50040000002
2015-03-20,09-5,120312.50040000002
2015-03-21,09-1,147048.6116
2015-03-21,09-2,147048.6116
2015-03-21,09-3,147048.6116
2015-03-21,06-6,142592.59306666668
2015-03-21,06-5,142592.59306666668
2015-03-21,07-4,142592.59306666668
2015-03-21,06-2,106944.44480000001
2015-03-21,06-3,106944.44480000001
2015-03-21,03-1,106944.44480000001
2015-03-21,09-4,106944.44480000001
2015-03-21,09-5,106944.44480000001
2015-03-22,09-1,155960.64866666668
2015-03-22,09-2,155960.64866666668
2015-03-22,09-3,155960.64866666668
2015-03-22,06-6,147048.6116
2015-03-22,06-5,147048.6116
2015-03-22,07-4,147048.6116
2015-03-22,06-2,109618.05592
2015-03-22,06-3,109618.05592
2015-03-22,03-1,109618.05592
2015-03-22,09-4,109618.05592
2015-03-22,09-5,109618.05592
2015-03-23,09-1,44560.185333333335
2015-03-23,09-2,44560.185333333335
2015-03-23,09-3,44560.185333333335
2015-03-23,06-6,93576.38920000002
2015-03-23,06-5,93576.38920000002
2015-03-23,07-4,93576.38920000002
2015-03-23,06-2,69513.88912
2015-03-23,06-3,69513.88912
2015-03-23,03-1,69513.88912
2015-03-23,09-4,69513.88912
2015-03-23,09-5,69513.88912
2015-03-24,09-1,160416.66720000003
2015-03-24,09-2,160416.66720000003
2015-03-24,09-3,160416.66720000003
2015-03-24,06-6,155960.64866666668
2015-03-24,06-5,155960.64866666668
2015-03-24,07-4,155960.64866666668
2015-03-24,06-2,114965.27816000002
2015-03-24,06-3,114965.27816000002
2015-03-24,03-1,114965.27816000002
2015-03-24,09-4,114965.27816000002
2015-03-24,09-5,114965.27816000002
2015-03-25,09-1,142592.59306666668
2015-03-25,09-2,142592.59306666668
2015-03-25,09-3,142592.59306666668
2015-03-25,06-6,138136.57453333333
2015-03-25,06-5,138136.57453333333
2015-03-25,07-4,138136.57453333333
2015-03-25,06-2,104270.83368000001
2015-03-25,06-3,104270.83368000001
2015-03-25,03-1,104270.83368000001
2015-03-25,09-4,104270.83368000001
2015-03-25,09-5,104270.83368000001
2015-03-26,09-1,182696.75986666666
2015-03-26,09-2,182696.75986666666
2015-03-26,09-3,182696.75986666666
2015-03-26,06-6,173784.72280000002
2015-03-26,06-5,173784.72280000002
2015-03-26,07-4,173784.72280000002
2015-03-26,06-2,131006.94488000001
2015-03-26,06-3,131006.94488000001
2015-03-26,03-1,131006.94488000001
2015-03-26,09-4,131006.94488000001
2015-03-26,09-5,131006.94488000001
2015-03-27,09-1,182696.75986666666
2015-03-27,09-2,182696.75986666666
2015-03-27,09-3,182696.75986666666
2015-03-27,06-6,173784.72280000002
2015-03-27,06-5,173784.72280000002
2015-03-27,07-4,173784.72280000002
2015-03-27,06-2,131006.94488000001
2015-03-27,06-3,131006.94488000001
2015-03-27,03-1,131006.94488000001
2015-03-27,09-4,131006.94488000001
2015-03-27,09-5,131006.94488000001
2015-03-28,09-1,160416.66720000003
2015-03-28,09-2,160416.66720000003
2015-03-28,09-3,160416.66720000003
2015-03-28,06-6,155960.64866666668
2015-03-28,06-5,155960.64866666668
2015-03-28,07-4,155960.64866666668
2015-03-28,06-2,114965.27816000002
2015-03-28,06-3,114965.27816000002
2015-03-28,03-1,114965.27816000002
2015-03-28,09-4,114965.27816000002
2015-03-28,09-5,114965.27816000002
2015-03-29,09-1,173784.72280000002
2015-03-29,09-2,173784.72280000002
