Date, 03-1, 07-4, 09-1
2015-07-01,7.100000001640202,5.700000000684625,5.899999999645625
2015-07-02,6.799999999832466,5.499999999479468,5.700000000684625
2015-07-03,6.199999999957257,5.000000000954889,5.199999999915889
2015-07-04,6.59999999862731,5.400000001121046,5.600000000082046
2015-07-05,6.400000001162414,5.099999999313311,5.300000000518468
2015-07-06,5.600000000082046,4.500000000186153,4.600000000788731
2015-07-07,5.000000000206836,3.999999999417417,4.200000000622574
2015-07-08,5.800000001287203,5.000000000954889,5.099999999313311
2015-07-09,5.899999998149522,4.6999999991471535,4.9000000003523105
2015-07-10,7.100000001640202,5.700000000684625,6.000000000248203
2015-07-11,8.100000000185466,6.500000001016939,6.800000000580519
2015-07-12,7.100000001640202,5.700000000684625,6.000000000248203
2015-07-13,8.100000000185466,6.500000001016939,6.800000000580519
2015-07-14,7.399999999707677,5.899999999645625,6.100000000850782
2015-07-15,8.300000001390622,6.599999999375362,6.899999998938941
2015-07-16,7.399999999707677,6.000000000248203,6.299999999811783
2015-07-17,7.700000005255672,6.000000000248203,6.500000001016939
2015-07-18,7.800000002117989,6.299999999811783,6.500000001016939
2015-07-19,7.600000000912834,6.100000000850782,6.4000000004143605
2015-07-20,7.800000002117989,6.299999999811783,6.599999999375362
2015-07-21,7.399999999707677,6.000000000248203,6.199999999209205
2015-07-22,7.800000002117989,6.299999999811783,6.599999999375362
2015-07-23,7.700000005255672,6.199999999209205,6.4000000004143605
2015-07-24,8.399999998252941,6.800000000580519,6.99999999954152
2015-07-25,7.500000004050515,6.100000000850782,6.299999999811783
2015-07-26,8.200000004528302,6.599999999375362,6.899999998938941
2015-07-27,5.800000001287203,4.600000000788731,4.799999999749732
2015-07-28,7.299999999105098,5.899999999645625,6.100000000850782
2015-07-29,6.500000001764992,5.300000000518468,5.499999999479468
2015-07-30,7.299999999105098,5.899999999645625,6.100000000850782
2015-07-31,7.500000004050515,6.000000000248203,6.299999999811783
