date,discharge-mean
2015-03-01,19016.260869565216
2015-03-02,18990.708333333332
2015-03-03,18973.833333333332
2015-03-04,17092.458333333332
2015-03-05,17013.333333333332
2015-03-06,17042.208333333332
2015-03-07,17042.875
2015-03-08,17050.045454545456
2015-03-09,17011.541666666668
2015-03-10,16991.5
2015-03-11,17045.958333333332
2015-03-12,16984.166666666668
2015-03-13,16984.708333333332
2015-03-14,17017.166666666668
2015-03-15,17005.708333333332
2015-03-16,16909.333333333332
2015-03-17,19776.833333333332
2015-03-18,22712.833333333332
2015-03-19,25736.875
2015-03-20,25973.916666666668
2015-03-21,26488.083333333332
2015-03-22,27406.166666666668
2015-03-23,27538.125
2015-03-24,28018.041666666668
2015-03-25,28024.916666666668
2015-03-26,27952.125
2015-03-27,28026.25
2015-03-28,27976.5
2015-03-29,28002.583333333332
2015-03-30,27987.541666666668
2015-03-31,27962.583333333332
2015-04-01,27969.25
2015-04-02,28020.208333333332
2015-04-03,27580.041666666668
2015-04-04,26998.291666666668
2015-04-05,26970.541666666668
2015-04-06,26591.25
2015-04-07,27013.708333333332
2015-04-08,26999.166666666668
2015-04-09,26834.333333333332
2015-04-10,26107.416666666668
2015-04-11,25523.958333333332
2015-04-12,25479.333333333332
2015-04-13,24701.416666666668
2015-04-14,23568.25
2015-04-15,24448.666666666668
2015-04-16,24481.875
2015-04-17,24511.708333333332
2015-04-18,24507.25
2015-04-19,23674.666666666668
2015-04-20,22505.458333333332
2015-04-21,22979.125
2015-04-22,23036.708333333332
2015-04-23,23002.291666666668
2015-04-24,23050.625
2015-04-25,22987.041666666668
2015-04-26,22967.458333333332
2015-04-27,22976.875
2015-04-28,23069.833333333332
2015-04-29,23450.458333333332
2015-04-30,24011.083333333332
2015-05-01,24537.958333333332
2015-05-02,24528.916666666668
2015-05-03,24497.166666666668
2015-05-04,24519.291666666668
2015-05-05,23952.25
2015-05-06,23990.75
2015-05-07,24403.291666666668
2015-05-08,26867.75
2015-05-09,29281.541666666668
2015-05-10,29528.291666666668
2015-05-11,29530.75
2015-05-12,29532.75
2015-05-13,29491.708333333332
2015-05-14,28876.291666666668
2015-05-15,28020.916666666668
2015-05-16,27980.958333333332
2015-05-17,27971.625
2015-05-18,27991.125
2015-05-19,28040.291666666668
2015-05-20,28015.75
2015-05-21,27955.583333333332
2015-05-22,28035.583333333332
2015-05-23,28017.625
2015-05-24,28013.375
2015-05-25,27968.625
2015-05-26,28031.25
2015-05-27,27962.166666666668
2015-05-28,27949.166666666668
2015-05-29,28026.833333333332
2015-05-30,28007.5
2015-05-31,27973.375
2015-06-01,27913.208333333332
2015-06-02,28009.791666666668
2015-06-03,28035.458333333332
2015-06-04,28067.875
2015-06-05,24613.583333333332
2015-06-06,21956.458333333332
2015-06-07,25385.291666666668
2015-06-08,25552.375
2015-06-09,22010.0
2015-06-10,24517.875
2015-06-11,25490.208333333332
2015-06-12,22021.416666666668
2015-06-13,24473.333333333332
2015-06-14,25512.791666666668
2015-06-15,22024.75
2015-06-16,24526.541666666668
2015-06-17,26325.583333333332
2015-06-18,23968.625
2015-06-19,23949.666666666668
2015-06-20,24007.583333333332
2015-06-21,24007.5
2015-06-22,23946.5
2015-06-23,24079.0
2015-06-24,24017.541666666668
2015-06-25,24020.541666666668
2015-06-26,24002.625
2015-06-27,23998.958333333332
2015-06-28,23992.833333333332
2015-06-29,23978.5
2015-06-30,24402.958333333332
2015-07-01,25937.5
2015-07-02,26960.125
2015-07-03,27042.583333333332
2015-07-04,26995.125
2015-07-05,27020.5
2015-07-06,27023.958333333332
2015-07-07,27017.875
2015-07-08,26946.375
2015-07-09,26966.083333333332
2015-07-10,27000.375
2015-07-11,27042.25
2015-07-12,26995.666666666668
2015-07-13,26957.208333333332
2015-07-14,27020.958333333332
2015-07-15,26978.833333333332
2015-07-16,26966.5
2015-07-17,26937.458333333332
2015-07-18,26962.416666666668
2015-07-19,26985.791666666668
2015-07-20,26997.208333333332
2015-07-21,26969.083333333332
2015-07-22,26986.666666666668
2015-07-23,26999.666666666668
2015-07-24,26978.0
2015-07-25,26994.75
2015-07-26,26950.333333333332
2015-07-27,26971.041666666668
2015-07-28,26990.291666666668
2015-07-29,27015.166666666668
2015-07-30,27071.333333333332
2015-07-31,27002.375
2015-08-01,26994.833333333332
2015-08-02,27028.041666666668
2015-08-03,27010.958333333332
2015-08-04,27005.875
2015-08-05,26972.375
2015-08-06,26967.0
2015-08-07,27012.041666666668
2015-08-08,26932.333333333332
2015-08-09,27070.791666666668
2015-08-10,27039.708333333332
2015-08-11,27037.416666666668
2015-08-12,26947.75
2015-08-13,27012.375
2015-08-14,27013.875
2015-08-15,27051.25
2015-08-16,27013.791666666668
2015-08-17,25123.958333333332
2015-08-18,22935.083333333332
2015-08-19,23032.958333333332
2015-08-20,23806.541666666668
2015-08-21,25067.833333333332
2015-08-22,25007.833333333332
2015-08-23,24974.0
2015-08-24,25103.208333333332
2015-08-25,26869.333333333332
2015-08-26,26975.458333333332
2015-08-27,27008.166666666668
2015-08-28,27934.416666666668
2015-08-29,28014.625
2015-08-30,27941.416666666668
2015-08-31,28011.625
2015-09-01,27964.875
2015-09-02,27995.875
2015-09-03,27972.291666666668
2015-09-04,27939.833333333332
2015-09-05,28002.166666666668
2015-09-06,27988.25
2015-09-07,28005.625
2015-09-08,27981.958333333332
2015-09-09,28016.083333333332
2015-09-10,28028.75
2015-09-11,27962.625
2015-09-12,28017.958333333332
2015-09-13,27902.25
2015-09-14,28015.125
2015-09-15,28001.541666666668
2015-09-16,28012.625
