date,Name,head
7/27/2015,R20-2015-08,1119.87
7/28/2015,R20-2015-08,1119.85
7/29/2015,R20-2015-08,1119.84
7/30/2015,R20-2015-08,1119.83
7/31/2015,R20-2015-08,1119.82
7/1/2015,R20-2015-09,1119.38
7/2/2015,R20-2015-09,1119.43
7/3/2015,R20-2015-09,
7/4/2015,R20-2015-09,
7/5/2015,R20-2015-09,
7/6/2015,R20-2015-09,1119.38
7/7/2015,R20-2015-09,1119.4
7/8/2015,R20-2015-09,1119.42
7/9/2015,R20-2015-09,1119.45
7/10/2015,R20-2015-09,1119.4
7/11/2015,R20-2015-09,
7/12/2015,R20-2015-09,
7/13/2015,R20-2015-09,1119.27
7/14/2015,R20-2015-09,1119.25
7/15/2015,R20-2015-09,1119.2
7/16/2015,R20-2015-09,1119.18
7/17/2015,R20-2015-09,1119.15
7/18/2015,R20-2015-09,
7/19/2015,R20-2015-09,
7/20/2015,R20-2015-09,1119.06
7/21/2015,R20-2015-09,1119.03
7/22/2015,R20-2015-09,1119.01
7/23/2015,R20-2015-09,1118.98
7/24/2015,R20-2015-09,1119.01
7/25/2015,R20-2015-09,
7/26/2015,R20-2015-09,
7/27/2015,R20-2015-09,1118.9
7/28/2015,R20-2015-09,1118.9
7/29/2015,R20-2015-09,1118.92
7/30/2015,R20-2015-09,1118.9
7/31/2015,R20-2015-09,1118.95
7/1/2015,R20-2015-10,1120.9
7/2/2015,R20-2015-10,1120.98
7/3/2015,R20-2015-10,
7/4/2015,R20-2015-10,
7/5/2015,R20-2015-10,
7/6/2015,R20-2015-10,1121.11
7/7/2015,R20-2015-10,1121.12
7/8/2015,R20-2015-10,1121.2
7/9/2015,R20-2015-10,1121.24
7/10/2015,R20-2015-10,1121.21
7/11/2015,R20-2015-10,
7/12/2015,R20-2015-10,
7/13/2015,R20-2015-10,1121.08
7/14/2015,R20-2015-10,1121.04
7/15/2015,R20-2015-10,1120.97
7/16/2015,R20-2015-10,1120.99
7/17/2015,R20-2015-10,1120.95
7/18/2015,R20-2015-10,
7/19/2015,R20-2015-10,
7/20/2015,R20-2015-10,1120.91
7/21/2015,R20-2015-10,1120.89
7/22/2015,R20-2015-10,1120.89
7/23/2015,R20-2015-10,1120.88
7/24/2015,R20-2015-10,1120.89
7/25/2015,R20-2015-10,
7/26/2015,R20-2015-10,
7/27/2015,R20-2015-10,1120.89
7/28/2015,R20-2015-10,1120.91
7/29/2015,R20-2015-10,1120.95
7/30/2015,R20-2015-10,1120.94
7/31/2015,R20-2015-10,1120.97
