agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,,mean_va
USGS,6478513,60,294960,4,1,2014,2021,8,4/1/2015,4410
USGS,6478513,60,294960,4,2,2014,2021,8,4/2/2015,4130
USGS,6478513,60,294960,4,3,2014,2021,8,4/3/2015,3860
USGS,6478513,60,294960,4,4,2014,2021,8,4/4/2015,3680
USGS,6478513,60,294960,4,5,2014,2021,8,4/5/2015,3570
USGS,6478513,60,294960,4,6,2014,2021,8,4/6/2015,3490
USGS,6478513,60,294960,4,7,2014,2021,8,4/7/2015,3550
USGS,6478513,60,294960,4,8,2014,2021,8,4/8/2015,3650
USGS,6478513,60,294960,4,9,2014,2021,8,4/9/2015,3680
USGS,6478513,60,294960,4,10,2014,2021,8,4/10/2015,3610
USGS,6478513,60,294960,4,11,2014,2021,8,4/11/2015,3610
USGS,6478513,60,294960,4,12,2014,2021,8,4/12/2015,3620
USGS,6478513,60,294960,4,13,2014,2021,8,4/13/2015,3550
USGS,6478513,60,294960,4,14,2014,2021,8,4/14/2015,3510
USGS,6478513,60,294960,4,15,2014,2021,8,4/15/2015,3620
USGS,6478513,60,294960,4,16,2014,2021,8,4/16/2015,3880
USGS,6478513,60,294960,4,17,2014,2021,8,4/17/2015,4230
USGS,6478513,60,294960,4,18,2014,2021,8,4/18/2015,4520
USGS,6478513,60,294960,4,19,2014,2021,8,4/19/2015,4610
USGS,6478513,60,294960,4,20,2014,2021,8,4/20/2015,4520
USGS,6478513,60,294960,4,21,2014,2021,8,4/21/2015,4410
USGS,6478513,60,294960,4,22,2014,2021,8,4/22/2015,4330
USGS,6478513,60,294960,4,23,2014,2021,8,4/23/2015,4260
USGS,6478513,60,294960,4,24,2014,2021,8,4/24/2015,4270
USGS,6478513,60,294960,4,25,2014,2021,8,4/25/2015,4300
USGS,6478513,60,294960,4,26,2014,2021,8,4/26/2015,4270
USGS,6478513,60,294960,4,27,2014,2021,8,4/27/2015,4240
USGS,6478513,60,294960,4,28,2014,2021,8,4/28/2015,4260
USGS,6478513,60,294960,4,29,2014,2021,8,4/29/2015,4390
USGS,6478513,60,294960,4,30,2014,2021,8,4/30/2015,4460
USGS,6478513,60,294960,5,1,2014,2021,8,5/1/2015,4550
USGS,6478513,60,294960,5,2,2014,2021,8,5/2/2015,4600
USGS,6478513,60,294960,5,3,2014,2021,8,5/3/2015,4570
USGS,6478513,60,294960,5,4,2014,2021,8,5/4/2015,4410
USGS,6478513,60,294960,5,5,2014,2021,8,5/5/2015,4220
USGS,6478513,60,294960,5,6,2014,2021,8,5/6/2015,3990
USGS,6478513,60,294960,5,7,2014,2021,8,5/7/2015,3760
USGS,6478513,60,294960,5,8,2014,2021,8,5/8/2015,3560
USGS,6478513,60,294960,5,9,2014,2021,8,5/9/2015,3430
USGS,6478513,60,294960,5,10,2014,2021,8,5/10/2015,3480
USGS,6478513,60,294960,5,11,2014,2021,8,5/11/2015,3510
USGS,6478513,60,294960,5,12,2014,2021,8,5/12/2015,3420
USGS,6478513,60,294960,5,13,2014,2021,8,5/13/2015,3250
USGS,6478513,60,294960,5,14,2014,2021,8,5/14/2015,3100
USGS,6478513,60,294960,5,15,2014,2021,8,5/15/2015,2950
USGS,6478513,60,294960,5,16,2014,2021,8,5/16/2015,2850
USGS,6478513,60,294960,5,17,2014,2021,8,5/17/2015,2780
USGS,6478513,60,294960,5,18,2014,2021,8,5/18/2015,2790
USGS,6478513,60,294960,5,19,2014,2021,8,5/19/2015,2940
USGS,6478513,60,294960,5,20,2014,2021,8,5/20/2015,3000
USGS,6478513,60,294960,5,21,2014,2021,8,5/21/2015,2960
USGS,6478513,60,294960,5,22,2014,2021,8,5/22/2015,2970
