type,time,flow
vermillion river,7/14/2015 19:12,-120598.398
vermillion river,7/14/2015 21:36,-120606.75
vermillion river,7/15/2015 0:00,-120615.828
vermillion river,7/15/2015 2:24,-120625.336
vermillion river,7/15/2015 4:48,-120634.281
vermillion river,7/15/2015 7:12,-120643.078
vermillion river,7/15/2015 9:36,-120652.188
vermillion river,7/15/2015 12:00,-120661.977
vermillion river,7/15/2015 14:24,-120671.297
vermillion river,7/15/2015 16:48,-120680.703
vermillion river,7/15/2015 19:12,-120690.273
vermillion river,7/15/2015 21:36,-120699.867
vermillion river,7/16/2015 0:00,-120709.227
vermillion river,7/16/2015 2:24,-120718.742
vermillion river,7/16/2015 4:48,-120728.016
vermillion river,7/16/2015 7:12,-120737.727
vermillion river,7/16/2015 9:36,-120747.109
vermillion river,7/16/2015 12:00,-120756.781
vermillion river,7/16/2015 14:24,-120766.383
vermillion river,7/16/2015 16:48,-120775.75
vermillion river,7/16/2015 19:12,-120784.391
vermillion river,7/16/2015 21:36,-120793.227
vermillion river,7/17/2015 0:00,-120802.023
vermillion river,7/17/2015 2:24,-120810.68
vermillion river,7/17/2015 4:48,-120819.805
vermillion river,7/17/2015 7:12,-120829.539
vermillion river,7/17/2015 9:36,-120839.414
vermillion river,7/17/2015 12:00,-120849.547
vermillion river,7/17/2015 14:24,-120860.289
vermillion river,7/17/2015 16:48,-120869.844
vermillion river,7/17/2015 19:12,-120879.688
vermillion river,7/17/2015 21:36,-120888.711
vermillion river,7/18/2015 0:00,-120897.188
vermillion river,7/18/2015 2:24,-120906.266
vermillion river,7/18/2015 4:48,-120915.344
vermillion river,7/18/2015 7:12,-120925.055
vermillion river,7/18/2015 9:36,-120933.953
vermillion river,7/18/2015 12:00,-120942.438
vermillion river,7/18/2015 14:24,-120950.688
vermillion river,7/18/2015 16:48,-120958.703
vermillion river,7/18/2015 19:12,-120965.719
vermillion river,7/18/2015 21:36,-120972.844
vermillion river,7/19/2015 0:00,-120980.563
